                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4857,                0.92273,                0.81805,                0.70637,                0.38601,                 0.5333,                0.40662,                 1.2908,                0.94364,                0.80898,              0.0075745,              0.0075745,              0.0075745
                     51,                   1.47,                0.91993,                0.81611,                0.57578,                0.48448,                0.54447,                0.41915,                 1.2744,                0.93172,                0.80465,               0.007525,               0.007525,               0.007525
                     52,                 1.5259,                0.91663,                0.81766,                0.63775,                0.45368,                0.56916,                0.44437,                 1.2882,                0.89852,                0.80688,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5891,                0.92627,                0.81438,                0.78837,                0.37852,                0.56183,                 0.4317,                 1.3139,                0.91526,                0.80628,               0.007426,               0.007426,               0.007426
                     54,                 1.6205,                0.91587,                0.80979,                0.61145,                0.47228,                0.56272,                  0.431,                 1.3195,                 0.8992,                0.80775,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6212,                0.88876,                0.81733,                0.62528,                0.48109,                0.57022,                0.44143,                 1.3367,                 0.9018,                0.80853,               0.007327,               0.007327,               0.007327
                     56,                 1.5677,                0.89651,                0.81304,                0.55255,                0.51598,                0.53581,                0.41319,                 1.3211,                0.88448,                0.80651,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6043,                0.86404,                0.81585,                0.67626,                0.44997,                0.57796,                0.44996,                 1.3094,                0.87821,                 0.8041,               0.007228,               0.007228,               0.007228
                     58,                 1.7161,                0.90377,                 0.8206,                0.69013,                0.46171,                0.59645,                0.46082,                 1.3339,                0.84583,                0.80609,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4019,                0.82164,                 0.8173,                0.64777,                0.46536,                0.58943,                0.46042,                 1.0231,                0.85159,                0.80306,               0.007129,               0.007129,               0.007129
                     60,                 1.1776,                0.86379,                0.82069,                0.55802,                0.52812,                0.59081,                0.45742,                0.96526,                0.84831,                0.80554,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1319,                0.81781,                0.80967,                0.64254,                0.48111,                0.57999,                0.44432,                0.95013,                0.84555,                0.80557,                0.00703,                0.00703,                0.00703
