                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.99678,                 1.1175,                0.82695,                0.69803,                0.35837,                0.47985,                0.36946,                0.83187,                 1.0663,                 0.8101,              0.0080695,              0.0080695,              0.0080695
                     81,                 1.0093,                 1.1841,                0.81852,                 0.6263,                0.39254,                0.47722,                0.36588,                0.82867,                 1.0733,                0.80985,              0.0080447,              0.0080447,              0.0080447
                     82,                0.97002,                 1.0864,                0.82503,                0.61677,                0.38066,                0.48843,                0.37571,                0.83073,                 1.0693,                 0.8093,                0.00802,                0.00802,                0.00802
                     83,                0.99536,                 1.1101,                0.81653,                0.63072,                0.41012,                0.48239,                0.36535,                0.83366,                 1.0622,                0.81049,              0.0079953,              0.0079953,              0.0079953
                     84,                0.96368,                 1.1008,                0.82065,                0.62207,                0.43704,                0.49876,                0.38164,                0.82741,                 1.0584,                 0.8098,              0.0079705,              0.0079705,              0.0079705
                     85,                 1.0263,                 1.1484,                0.81484,                0.60575,                0.42156,                 0.4896,                0.37479,                0.82986,                 1.0543,                0.80885,              0.0079457,              0.0079457,              0.0079457
                     86,                0.99355,                 1.1321,                0.83143,                0.66468,                0.37982,                 0.4893,                0.37291,                0.82906,                 1.0691,                0.80887,               0.007921,               0.007921,               0.007921
                     87,                  1.013,                  1.119,                0.81676,                0.61751,                0.42069,                0.49092,                0.37619,                0.82476,                 1.0369,                0.80856,              0.0078963,              0.0078963,              0.0078963
                     88,                 1.0062,                 1.0887,                0.82179,                0.54601,                0.45933,                0.49844,                0.37933,                0.82637,                 1.0482,                 0.8076,              0.0078715,              0.0078715,              0.0078715
                     89,                 1.0173,                  1.145,                0.81783,                0.52447,                  0.451,                0.49541,                0.37709,                0.82558,                 1.0357,                0.80784,              0.0078467,              0.0078467,              0.0078467
                     90,                 1.0129,                 1.1193,                0.83925,                0.68341,                0.39426,                0.49916,                  0.379,                0.83142,                 1.0547,                0.80847,               0.007822,               0.007822,               0.007822
                     91,                0.98408,                 1.1114,                 0.8133,                0.57092,                0.45301,                 0.5114,                0.38966,                0.83766,                 1.0425,                0.80933,              0.0077973,              0.0077973,              0.0077973
                     92,                0.98922,                 1.1195,                 0.8191,                0.60702,                0.41353,                0.49424,                 0.3752,                0.83691,                 1.0388,                0.80969,              0.0077725,              0.0077725,              0.0077725
                     93,                0.96968,                 1.0965,                0.81404,                0.66288,                0.38076,                0.48782,                0.37065,                 0.8338,                 1.0345,                0.80895,              0.0077478,              0.0077478,              0.0077478
                     94,                0.93981,                 1.0555,                0.81618,                0.66066,                0.39531,                 0.4969,                0.37969,                0.82997,                 1.0232,                0.80904,               0.007723,               0.007723,               0.007723
                     95,                 1.0334,                 1.1591,                0.82007,                0.64043,                0.40156,                 0.4926,                 0.3776,                0.82741,                 1.0308,                0.80862,              0.0076983,              0.0076983,              0.0076983
                     96,                 1.0021,                 1.0677,                0.81955,                0.66607,                 0.4024,                0.50069,                0.37886,                0.82944,                 1.0254,                0.80831,              0.0076735,              0.0076735,              0.0076735
                     97,                0.95589,                 1.0696,                0.82382,                0.62939,                0.43449,                0.51757,                0.39012,                0.82922,                 1.0246,                0.80874,              0.0076488,              0.0076488,              0.0076488
                     98,                 1.0004,                 1.0973,                0.81534,                0.58813,                0.42987,                0.51045,                 0.3865,                0.82562,                  1.032,                0.80785,               0.007624,               0.007624,               0.007624
                     99,                 1.0168,                 1.1142,                0.82555,                0.58338,                0.41494,                0.49699,                0.37858,                0.82484,                 1.0299,                0.80891,              0.0075993,              0.0075993,              0.0075993
                    100,                0.97485,                 1.0591,                 0.8226,                0.69228,                0.38141,                0.50849,                0.38916,                0.82545,                 1.0236,                0.80797,              0.0075745,              0.0075745,              0.0075745
                    101,                0.97011,                 1.0512,                0.81173,                0.66885,                0.40292,                0.50277,                0.38588,                0.82069,                 1.0131,                0.80737,              0.0075498,              0.0075498,              0.0075498
                    102,                0.97554,                 1.0941,                0.81174,                0.71426,                0.38462,                0.51015,                0.39214,                0.81787,                 1.0073,                0.80727,               0.007525,               0.007525,               0.007525
                    103,                0.99182,                 1.1044,                0.83252,                0.62608,                0.42012,                0.50478,                0.38719,                0.81982,                 1.0097,                0.80704,              0.0075003,              0.0075003,              0.0075003
                    104,                0.94928,                 1.0484,                0.82453,                0.62441,                 0.4441,                0.50285,                 0.3861,                0.81504,                 1.0125,                0.80628,              0.0074755,              0.0074755,              0.0074755
                    105,                0.95453,                 1.0257,                0.82425,                0.64973,                0.41287,                0.49865,                0.38611,                0.81483,                 1.0126,                0.80642,              0.0074507,              0.0074507,              0.0074507
                    106,                0.96637,                  1.063,                0.82353,                0.63587,                0.42065,                 0.5092,                0.39205,                0.81613,                 1.0069,                0.80617,               0.007426,               0.007426,               0.007426
                    107,                 0.9796,                 1.0605,                0.82236,                 0.6365,                0.42194,                0.52078,                0.39858,                0.81522,                 1.0024,                 0.8064,              0.0074013,              0.0074013,              0.0074013
                    108,                 1.0051,                 1.0302,                0.82861,                0.56504,                0.44206,                0.51009,                0.39278,                0.81381,                0.99154,                0.80689,              0.0073765,              0.0073765,              0.0073765
                    109,                0.97313,                 1.0359,                0.81332,                 0.7134,                0.39426,                0.52685,                 0.4004,                0.81784,                0.99373,                 0.8059,              0.0073517,              0.0073517,              0.0073517
                    110,                0.97598,                 1.0347,                0.81329,                0.59777,                 0.4232,                0.52852,                 0.4056,                0.81392,                0.98803,                  0.807,               0.007327,               0.007327,               0.007327
                    111,                0.96346,                 1.0271,                0.81424,                0.59839,                0.42719,                0.53457,                 0.4098,                 0.8119,                0.98878,                0.80676,              0.0073023,              0.0073023,              0.0073023
                    112,                0.99104,                 1.0799,                0.81785,                0.62626,                0.43398,                0.53696,                0.41164,                0.80943,                0.98627,                0.80639,              0.0072775,              0.0072775,              0.0072775
                    113,                0.99865,                 1.0312,                0.81702,                0.55966,                0.46329,                0.53279,                0.40985,                0.80905,                0.98165,                0.80657,              0.0072527,              0.0072527,              0.0072527
                    114,                0.97777,                 1.0201,                0.81507,                 0.5835,                0.46211,                0.54753,                0.41823,                0.80682,                0.97968,                0.80722,               0.007228,               0.007228,               0.007228
                    115,                0.96834,                 1.0395,                0.82063,                0.61304,                0.42958,                0.54384,                0.41835,                0.80753,                 0.9775,                0.80702,              0.0072033,              0.0072033,              0.0072033
                    116,                 0.9639,                 1.0042,                0.81331,                0.61461,                0.43184,                0.52509,                 0.4047,                 0.8122,                0.98378,                 0.8078,              0.0071785,              0.0071785,              0.0071785
                    117,                0.98224,                 1.0364,                0.82083,                0.62198,                0.44219,                 0.5352,                 0.4098,                0.81321,                0.98518,                0.80726,              0.0071538,              0.0071538,              0.0071538
                    118,                0.95629,                  1.009,                0.82399,                0.59294,                0.46983,                0.54025,                0.41378,                0.81047,                0.98122,                0.80642,               0.007129,               0.007129,               0.007129
                    119,                 0.9786,                 1.0447,                0.82076,                0.57472,                  0.453,                0.53547,                0.41342,                0.80983,                0.97937,                0.80574,              0.0071042,              0.0071042,              0.0071042
                    120,                 0.9279,                0.98737,                0.81822,                0.61405,                 0.4416,                0.54039,                0.41637,                0.80529,                0.98065,                0.80512,              0.0070795,              0.0070795,              0.0070795
                    121,                 0.9624,                0.98164,                0.81556,                0.60711,                0.46139,                0.54477,                0.42004,                0.80552,                0.98234,                 0.8057,              0.0070547,              0.0070547,              0.0070547
                    122,                0.95749,                 1.0261,                0.82215,                0.65638,                0.44874,                0.54569,                0.42104,                0.80705,                0.97555,                0.80551,                0.00703,                0.00703,                0.00703
                    123,                0.95162,                 0.9878,                 0.8191,                0.59674,                0.47239,                0.54399,                0.41824,                0.80403,                0.97734,                0.80506,              0.0070053,              0.0070053,              0.0070053
                    124,                0.92655,                0.96871,                 0.8128,                0.59759,                0.48237,                  0.556,                0.42542,                0.80677,                0.97597,                0.80526,              0.0069805,              0.0069805,              0.0069805
                    125,                0.96651,                0.97145,                0.81402,                0.58699,                0.48361,                 0.5478,                   0.42,                0.80699,                 0.9774,                0.80543,              0.0069558,              0.0069558,              0.0069558
                    126,                0.97409,                 1.0429,                0.81655,                0.57967,                0.48037,                0.54306,                0.41625,                0.80742,                0.97596,                0.80562,               0.006931,               0.006931,               0.006931
                    127,                0.94594,                0.98353,                0.81501,                0.55728,                0.48611,                0.53252,                0.41099,                0.80831,                0.97676,                0.80523,              0.0069063,              0.0069063,              0.0069063
                    128,                0.97548,                0.97744,                0.82028,                0.57852,                0.48131,                0.52927,                0.40665,                0.80771,                0.97563,                0.80499,              0.0068815,              0.0068815,              0.0068815
                    129,                0.94647,                0.94384,                0.82048,                0.58775,                0.48415,                 0.5445,                0.41719,                 0.8074,                0.96927,                0.80539,              0.0068568,              0.0068568,              0.0068568
                    130,                 0.9298,                0.99978,                0.81276,                 0.5723,                0.50306,                0.53607,                0.41155,                0.80886,                0.95907,                0.80508,               0.006832,               0.006832,               0.006832
                    131,                0.94687,                0.95464,                0.81286,                0.55722,                0.50308,                0.54166,                0.41625,                0.80629,                0.95187,                 0.8044,              0.0068073,              0.0068073,              0.0068073
                    132,                0.92042,                0.96493,                0.81969,                0.57126,                0.49873,                0.53854,                0.41298,                0.80691,                0.94726,                0.80431,              0.0067825,              0.0067825,              0.0067825
                    133,                0.95766,                0.98113,                0.82041,                0.56152,                0.48931,                0.53751,                0.41101,                0.80282,                0.94687,                0.80442,              0.0067577,              0.0067577,              0.0067577
                    134,                0.93117,                0.93332,                0.81316,                 0.5457,                0.50749,                0.53787,                0.41277,                0.80343,                0.94673,                0.80459,               0.006733,               0.006733,               0.006733
                    135,                0.95398,                0.94758,                0.81425,                0.59909,                0.50274,                0.54082,                0.41399,                0.80373,                0.94422,                0.80466,              0.0067082,              0.0067082,              0.0067082
                    136,                0.95864,                0.99188,                0.81782,                0.62176,                0.49273,                0.54401,                0.41619,                0.80417,                0.94314,                0.80462,              0.0066835,              0.0066835,              0.0066835
                    137,                0.94056,                0.90939,                0.81716,                0.62982,                0.47737,                0.54771,                0.41993,                0.80482,                0.94312,                0.80486,              0.0066587,              0.0066587,              0.0066587
                    138,                0.93812,                0.95741,                0.81896,                0.64435,                0.46801,                0.54727,                0.41946,                0.80376,                0.94304,                0.80469,               0.006634,               0.006634,               0.006634
                    139,                0.91226,                0.90206,                0.82102,                0.63732,                0.48648,                0.55543,                0.42571,                0.80455,                0.94034,                0.80455,              0.0066092,              0.0066092,              0.0066092
                    140,                0.96339,                0.96658,                0.81329,                0.62642,                0.49573,                0.56045,                0.43114,                 0.8025,                0.93636,                0.80456,              0.0065845,              0.0065845,              0.0065845
                    141,                0.94012,                0.96268,                0.81805,                0.62301,                0.50099,                0.56431,                0.43278,                0.79975,                0.93835,                0.80403,              0.0065598,              0.0065598,              0.0065598
                    142,                0.92739,                0.95672,                0.82021,                0.62748,                0.49182,                0.56756,                0.43949,                0.79718,                0.93719,                0.80357,               0.006535,               0.006535,               0.006535
                    143,                 0.9391,                0.94139,                0.82229,                0.63289,                0.48954,                0.56541,                0.43958,                0.79664,                0.93633,                0.80341,              0.0065102,              0.0065102,              0.0065102
                    144,                0.97083,                0.97957,                0.81804,                0.63609,                0.48565,                0.56381,                0.43574,                0.79815,                0.93682,                0.80356,              0.0064855,              0.0064855,              0.0064855
                    145,                0.95195,                0.94468,                0.81781,                0.61196,                0.50117,                0.56282,                0.43514,                0.79585,                0.93663,                0.80316,              0.0064608,              0.0064608,              0.0064608
                    146,                0.93626,                0.95765,                0.82434,                0.60827,                 0.4978,                0.55831,                0.42994,                0.79499,                0.93538,                0.80304,               0.006436,               0.006436,               0.006436
                    147,                0.90837,                0.93319,                0.81694,                0.60867,                0.48897,                 0.5655,                0.43369,                0.79564,                0.93436,                0.80304,              0.0064112,              0.0064112,              0.0064112
                    148,                 0.9087,                0.92234,                0.81137,                0.64235,                0.47871,                0.56485,                0.43489,                  0.798,                0.93579,                0.80296,              0.0063865,              0.0063865,              0.0063865
                    149,                0.94166,                0.90531,                0.81229,                0.65548,                0.47052,                0.57017,                 0.4409,                0.79712,                0.93385,                0.80316,              0.0063618,              0.0063618,              0.0063618
                    150,                0.91782,                0.91014,                0.81655,                0.65908,                 0.4709,                0.57286,                0.44162,                0.79615,                0.93409,                0.80301,               0.006337,               0.006337,               0.006337
                    151,                 0.9065,                0.89914,                0.81999,                 0.6525,                 0.4646,                0.56967,                0.44015,                0.79609,                0.93231,                0.80268,              0.0063122,              0.0063122,              0.0063122
                    152,                0.96183,                0.93425,                0.82526,                0.64362,                0.48269,                0.57339,                0.44239,                0.79426,                0.93104,                 0.8025,              0.0062875,              0.0062875,              0.0062875
                    153,                0.91612,                0.90797,                0.81971,                0.65697,                0.47032,                0.57283,                0.44254,                0.79385,                0.92959,                0.80274,              0.0062628,              0.0062628,              0.0062628
                    154,                0.94243,                0.93225,                0.82019,                0.66721,                0.47213,                0.57007,                0.44052,                0.79354,                0.93024,                0.80267,               0.006238,               0.006238,               0.006238
                    155,                0.93878,                0.92775,                0.80996,                0.65111,                0.47697,                0.57492,                0.44596,                0.79391,                0.92988,                0.80259,              0.0062132,              0.0062132,              0.0062132
                    156,                0.95451,                0.94875,                0.82019,                0.67987,                0.46548,                0.57614,                 0.4458,                0.79368,                0.92993,                0.80271,              0.0061885,              0.0061885,              0.0061885
