                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.79151,                0.60663,                0.80373,                0.62551,                0.63852,                0.71399,                 0.5686,                0.73398,                0.62545,                0.79756,              0.0085398,              0.0085398,              0.0085398
                     62,                 0.7884,                0.59442,                0.80485,                0.64552,                0.65004,                0.71244,                 0.5582,                0.73316,                0.61825,                0.79887,               0.008515,               0.008515,               0.008515
                     63,                0.78782,                0.61714,                0.81027,                0.68578,                0.64005,                0.72998,                0.57586,                0.72819,                0.61847,                0.79798,              0.0084903,              0.0084903,              0.0084903
                     64,                  0.781,                0.60025,                0.80991,                0.65905,                0.65687,                0.72019,                0.56852,                 0.7299,                0.64067,                0.79837,              0.0084655,              0.0084655,              0.0084655
                     65,                0.79678,                0.59283,                0.80831,                0.63881,                0.64699,                 0.7141,                0.56295,                0.71703,                0.60841,                0.79759,              0.0084408,              0.0084408,              0.0084408
                     66,                0.82084,                0.60449,                 0.8088,                0.62967,                0.64728,                0.71817,                0.56834,                0.72577,                0.62631,                 0.7982,               0.008416,               0.008416,               0.008416
                     67,                0.79168,                0.56194,                0.80472,                0.69359,                0.58448,                 0.7058,                 0.5602,                0.71904,                0.63323,                0.79818,              0.0083913,              0.0083913,              0.0083913
                     68,                0.79235,                0.60092,                0.80877,                 0.8044,                0.56786,                0.71547,                0.56641,                0.72216,                0.60423,                0.79902,              0.0083665,              0.0083665,              0.0083665
                     69,                0.78584,                0.57134,                0.81427,                0.64103,                0.65073,                0.70382,                   0.56,                0.72381,                0.60026,                 0.7974,              0.0083418,              0.0083418,              0.0083418
                     70,                0.79658,                0.59521,                0.80754,                0.65223,                0.66403,                0.73121,                0.58753,                0.72271,                0.59492,                0.79789,               0.008317,               0.008317,               0.008317
                     71,                0.76046,                0.55846,                0.80631,                0.68613,                0.65257,                0.73089,                 0.5782,                0.71239,                0.57583,                0.79612,              0.0082922,              0.0082922,              0.0082922
                     72,                0.76988,                0.55335,                0.80439,                0.61107,                0.64613,                0.71772,                0.56989,                0.71479,                0.60342,                0.79635,              0.0082675,              0.0082675,              0.0082675
                     73,                0.77516,                0.54458,                0.79733,                0.80107,                0.56505,                 0.7152,                0.56363,                0.72089,                0.58864,                0.79714,              0.0082428,              0.0082428,              0.0082428
                     74,                0.78986,                0.57386,                0.81414,                0.63856,                0.68619,                0.73467,                0.58206,                0.71447,                0.57732,                 0.7945,               0.008218,               0.008218,               0.008218
                     75,                0.75747,                 0.5527,                 0.8056,                0.67678,                0.65827,                0.72684,                0.57925,                0.71257,                0.58666,                0.79593,              0.0081932,              0.0081932,              0.0081932
                     76,                0.77142,                0.55351,                0.80348,                0.71537,                0.61327,                0.72043,                0.57175,                 0.7188,                0.58014,                0.79611,              0.0081685,              0.0081685,              0.0081685
                     77,                0.76001,                0.54765,                0.80476,                0.73232,                0.62449,                0.72259,                0.57025,                0.71846,                0.58045,                0.79449,              0.0081437,              0.0081437,              0.0081437
                     78,                0.74331,                0.51802,                0.80435,                0.71495,                0.65066,                0.75027,                0.59077,                0.70945,                0.56208,                0.79459,               0.008119,               0.008119,               0.008119
                     79,                0.76687,                0.53465,                0.80306,                0.76236,                0.58155,                0.73327,                0.58109,                0.71183,                0.56552,                0.79503,              0.0080942,              0.0080942,              0.0080942
                     80,                0.75922,                 0.5234,                0.80078,                0.71931,                0.63905,                0.74207,                0.58805,                0.70509,                0.57404,                0.79333,              0.0080695,              0.0080695,              0.0080695
                     81,                0.75989,                0.52121,                0.80969,                0.71449,                0.65042,                0.73667,                 0.5812,                0.70777,                0.57149,                 0.7935,              0.0080447,              0.0080447,              0.0080447
                     82,                0.73044,                 0.5152,                0.80216,                0.73682,                0.65739,                0.74623,                0.59598,                0.70486,                 0.5675,                0.79314,                0.00802,                0.00802,                0.00802
                     83,                0.79162,                 0.5434,                0.80241,                0.62294,                 0.7171,                0.74852,                0.59254,                0.70479,                0.55625,                0.79539,              0.0079953,              0.0079953,              0.0079953
                     84,                0.74748,                0.52349,                0.80639,                0.73651,                0.65242,                0.74971,                0.59596,                 0.6995,                0.55133,                0.79465,              0.0079705,              0.0079705,              0.0079705
                     85,                0.77899,                0.53833,                0.80589,                0.67762,                0.70068,                0.74826,                0.59371,                0.69966,                0.55487,                 0.7956,              0.0079457,              0.0079457,              0.0079457
                     86,                0.75816,                0.51243,                0.79862,                0.79727,                0.62892,                0.73854,                0.59204,                0.69649,                0.55021,                0.79445,               0.007921,               0.007921,               0.007921
                     87,                0.74115,                0.51229,                0.80201,                0.83437,                0.61011,                0.75306,                0.59897,                0.70001,                0.55087,                0.79445,              0.0078963,              0.0078963,              0.0078963
                     88,                0.73241,                 0.4985,                0.80061,                0.70923,                0.68527,                0.74027,                0.59185,                0.70098,                0.55977,                0.79539,              0.0078715,              0.0078715,              0.0078715
                     89,                0.76567,                0.51855,                0.80268,                0.73079,                0.66538,                0.74844,                0.59408,                0.70097,                0.54776,                0.79519,              0.0078467,              0.0078467,              0.0078467
                     90,                0.77924,                0.53523,                0.79835,                0.70108,                  0.682,                0.75306,                 0.6004,                0.69677,                0.53879,                0.79461,               0.007822,               0.007822,               0.007822
                     91,                0.75805,                0.52918,                0.80183,                0.75557,                0.62531,                0.74134,                0.59592,                0.69732,                0.53194,                0.79384,              0.0077973,              0.0077973,              0.0077973
                     92,                0.75909,                0.53131,                0.79993,                0.68765,                0.68829,                 0.7638,                0.61141,                0.69988,                0.53513,                0.79422,              0.0077725,              0.0077725,              0.0077725
                     93,                0.74735,                0.51056,                0.80647,                 0.6734,                 0.7188,                0.77057,                0.61816,                0.69758,                0.52599,                0.79393,              0.0077478,              0.0077478,              0.0077478
                     94,                0.73034,                0.49265,                0.80199,                0.70185,                0.69717,                0.76764,                0.61862,                0.69757,                0.53319,                0.79393,               0.007723,               0.007723,               0.007723
                     95,                0.74919,                0.50958,                0.79922,                0.68617,                0.69426,                0.75966,                0.61026,                 0.6999,                0.53956,                0.79432,              0.0076983,              0.0076983,              0.0076983
